Tag,PaperId,AuthorIdsOrder,AuthorNamesOrder,authorCount,unknownCount,femaleCount,femaleProp,1st,2nd,3rd,4th,5th,last,FoSNames,Year,DocType,Journal,Publisher,Doi,Title,EstimatedCitation,IndexedAbstract,WoSID,WoSjournal,jfraction,subd_name,disc_name
Reproducibility,1963839639,2594820131; 2761019021; 2168523398; 1440420109; 265536517,Yannick Garsany; Junjie Ge; Jean St-Pierre; Richard E. Rocheleau; Karen Swider-Lyons,5,1,2,0.5,0.0,,1.0,0.0,1.0,1.0,computer science; algorithm; analytical chemistry; reproducibility,2013,Journal,,Ecs,10.1149/05801.1233ecst,ORR Measurements Reproducibility Using a RRDE,3,,WOS:000354475600121,polymer electrolyte fuel cells 13 (pefc 13),,,
Reproducibility,2074994515,2712127596; 2684241247; 2014673079,Anders Sjögren; Jan E. Lindgren; Jan Huggare,3,0,2,0.6666666666666666,0.0,1.0,1.0,,,1.0,dentistry; radiology; standard deviation; systematic error; reproducibility; statistics; computer science; dental arch; overbite; coefficient of variation,2010,Journal,Journal of Digital Imaging,Springer-Verlag,10.1007/s10278-009-9211-y,Orthodontic Study Cast Analysis—Reproducibility of Recordings and Agreement Between Conventional and 3D Virtual Measurements,57,"Digital imaging of dental casts has become an alternative to conventional cast analysis in orthodontic treatment planning. The reproducibility of angular measurements made on virtual digital models has not as yet been evaluated. In order to study reproducibility for and agreement between a conventional analysis technique and virtual 3D imaging, 20 dental casts from subjects in the early mixed dentition, were measured twice with each technique by two orthodontists. Variables of interest were incisor rotation, angulation and irregularity, arch width, arch circumference, overjet, and overbite. Standard deviation (Dahlberg 1940) and coefficient of variation were used for evaluation of reproducibility. Mean differences between methods and examiners, correlation between mean differences and mean levels and 95% limits of agreement were used for describing systematic errors. The conventional technique showed less intraexaminer variation for angular variables than the 3D imaging method. Linear variables, with the exception of overbite, showed no clear trend as regards differences in reproducibility between the two methods. In general, examiner 1 showed less intraexaminer variation than examiner 2. The mean differences between the two methods expressed higher values for assessment of rotations with the O3DM method. Both angular and linear variables exhibited poor 95% limits of agreement. The conventional technique showed better overall reproducibility and thus appears to be more suitable for scientific work. However, the reproducibility attained by O3DM is clearly acceptable for clinical use. The two methods should not be used interchangeably.",WOS:000279504000011,journal of digital imaging,1.0,Medical Libraries,Health Professionals
Reproducibility,2090898881,2679623471; 2764924701; 2117165463; 2160173928; 2125455454; 2091179548; 2021010695; 2116380018,Jun Okamoto; Yu Kumasaka; Kazuya Kawamura; Tomoyuki Matsumoto; Seiji Kubo; Hirotsugu Muratsu; Masahiro Kurosaka; Masakatsu G. Fujie,8,5,0,0.0,0.0,0.0,,,0.0,,engineering; reproducibility; biomechanics; biological engineering; physical examination,2011,Journal,Journal of Advanced Mechanical Design Systems and Manufacturing,The Japan Society of Mechanical Engineers,10.1299/jamdsm.5.358,Orthopaedic Physical Examination Assisting System for Improvement of Accuracy and Reproducibility of Knee Laxity Diagnosis,1,,WOS:000298962300012,journal of advanced mechanical design systems and manufacturing,1.0,Friction Lubrication & Wear,"Chemical, Mechanical, & Civil Engineering"
OpenScience,2775500188,2530901705; 975051260; 2552209537; 2681300430; 2002614258,William L. Poehlman; Mats Rynge; D. Balamurugan; Nicholas Mills; Frank Alex Feltus,5,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,bioinformatics; computer science; workflow; database; grid; software; open science; gene co expression network; throughput,2017,Conference,,,10.1109/BIBM.2017.8217938,OSG-KINC: High-throughput gene co-expression network construction using the open science grid,0,"Gene Co-expression Network (GCN) analysis is a method to characterize the complexity underlying biological systems. With an increasing availability of datasets available for mining complex gene expression patterns, novel algorithms and computational frameworks must be developed to take advantage of the wealth of information. OSG-KINC is a Pegasus workflow that enables highly parallel execution of KINC — Knowledge Independent Network Construction — using resources available on the Open Science Grid (OSG). A yeast GCN was constructed using the OSG-KINC workflow, providing an example GCN resource for biological hypothesis testing. Timing experiments demonstrate that the number of jobs submitted by the user significantly affects the performance of the workflow. An overview of workflow usage, bottlenecks, and efforts for improvement is provided. OSG-KINC is freely available at https://github.com/feltus/OSG-KINC under GNU General Public License version 3.",,,,,
OpenScience,2130124502,2114303091; 2429336616; 2102679180; 2067113401; 2034258830; 278137911,Daniel Eisinger; George Tsatsaronis; Alina Petrova; Efstathios Karanastasis; Vassiliki Andronikou; Efthymios Chondrogiannis,6,2,1,0.25,0.0,0.0,1.0,0.0,,,semantic search; computer science; scientometrics; data model; open science; data science; social network,2015,Journal,,,10.11610/bmdj.01109,OSL Platform: A Link to Open-access Scientific Information and Structured Data,1,": 07 Jan 2015 K E Y W O R D S: Open Science Open Access to Scientific Data Semantic Search Life Sciences Pilot Services Evaluation of Science A B S T R A C T The rapidly growing wealth of published scientific work, produced by re-searchers and scholars, has resulted in a pressing need for more effective processes towards reviewing scientific articles and research data, organizing data journals, as well as for improved tools and techniques for bibliographic analysis and management of scientometrics. The ongoing EU research project OpenScienceLink aims to address these needs, as well as offer a wide range of opportunities for better collaboration between researchers, by introducing a web-based Platform which offers efficient and intelligent applications and services for exploiting open access scientific information in the biomedical domain. The Platform is empowered by the semantic and social networking capabilities of three leading edge background infrastructures, which have been adapted and integrated for the scope of the project. In this paper, we present the five pilot services that are provided by the OpenScienceLink project. All five services are integrated into the web-based OpenScienceLink platform that is publicly accessible at http://www.opensciencelink.org.",,,,,
Reproducibility,2092333932,2106663187; 2107590107; 2129100051; 326559460; 2122506644; 2145674836,Dong H. Ahn; Gregory L. Lee; Ganesh Gopalakrishnan; Zvonimir Rakamarić; Martin Schulz; Ignacio Laguna,6,1,0,0.0,0.0,0.0,0.0,,0.0,0.0,systems engineering; supercomputer; reproducibility; scheduling; software requirements specification; theoretical computer science; scalability; concurrency; computational science and engineering; computer science,2013,Conference,,ACM,10.1145/2532352.2532357,"Overcoming extreme-scale reproducibility challenges through a unified, targeted, and multilevel toolset",3,"Reproducibility, the ability to repeat program executions with the same numerical result or code behavior, is crucial for computational science and engineering applications. However, non-determinism in concurrency scheduling often hampers achieving this ability on high performance computing (HPC) systems. To aid in managing the adverse effects of non-determinism, prior work has provided techniques to achieve bit-precise reproducibility, but most of them focus only on small-scale parallelism. While scalable techniques recently emerged, they are disparate and target special purposes, e.g., single-schedule domains. On current systems with O (10 6 ) compute cores and future ones with O (10 9 ), any technique that does not embrace a unified, targeted , and multilevel approach will fall short of providing reproducibility. In this paper, we argue for a common toolset that embodies this approach, where programmers select and compose complementary tools and can effectively, yet scalably, analyze, control, and eliminate sources of non-determinism at scale. This allows users to gain reproducibility only to the levels demanded by specific code development needs. We present our research agenda and ongoing work toward this goal.",,,,,
Reproducibility,2167519179,2105188471; 276379741; 2010561019,Sabina Siebert; Laura M. Machesky; Robert H. Insall,3,0,2,0.6666666666666666,1.0,1.0,0.0,,,0.0,scientific enterprise; biology; applied psychology; bioethics; scientific misconduct; reproducibility; cell biology,2015,Journal,eLife,"eLife Sciences Publications, Ltd",10.7554/eLife.10825,Overflow in science and its implications for trust,7,"To explore increasing concerns about scientific misconduct and data irreproducibility in some areas of science, we interviewed a number of senior biomedical researchers. These interviews revealed a perceived decline in trust in the scientific enterprise, in large part because the quantity of new data exceeds the field's ability to process it appropriately. This phenomenon—which is termed ‘overflow’ in social science—has important implications for the integrity of modern biomedical science.",WOS:000361614500001,elife,,,
OpenScience,2770544042,1916366858; 2297208394,Roberto Therón; Eveline Wandl-Vogt,2,0,1,0.5,0.0,1.0,,,,1.0,knowledge management; citizen science; engineering; open science; digital humanities,2017,Conference,,,10.1145/3144826.3145376,Overview of the 'New Trends in Digital Humanities' track,0,"The track ""New trends in digital humanities"" of the Fifth International Conference on Technological Ecosystems for Enhancing Multiculturality (TEEM 2017), will reflect on the benefits and current limitations of interdisciplinar and open science approaches in digital humanities. The idea of sharing data, models an tools has been exploited in the field in the previous decades. However, it is becoming now evident that without a deeper understanding of the motivations towards sharing and of the interactions among the different stakeholders, new digital humanities endeavors are prone to repeat the same errors that appeared in the projects of the past that took openness for granted without tackling first its complexity.",,,,,
Reproducibility,1884310437,2078722010,Eve Marder,1,0,1,1.0,1.0,,,,,1.0,publishing; biology; bioinformatics; reproducibility; genetics; text mining; knowledge management,2015,Journal,eLife,"eLife Sciences Publications, Ltd",10.7554/eLife.11628,Owning your mistakes,0,"Most scientists admit to their errors but, as Eve Marder explains, the scientific community as a whole needs to rethink the way it recognizes achievement.",WOS:000363797300001,elife,,,
Reproducibility,2765984244,2766936072; 2765804011; 2766647751; 2766042488; 2767197866; 2766381513; 2766947243; 2765460729,E Pompeo; M Peer; Marina Kolodii; M Dauri; V Gofman; C Becucci; P Rogliani; N Nativ,8,7,1,1.0,,,1.0,,,,physical therapy; reproducibility; surgery; medicine,2017,Journal,Interactive Cardiovascular and Thoracic Surgery,,10.1093/icvts/ivx280.145,P-145INTER-INSTITUTIONAL REPRODUCIBILITY OF NONINTUBATED THORACOSCOPIC SURGERY WITH ADOPTION OF A TECHNICAL EQUIPOISE STRATEGY,0,,,,,,
Reproducibility,2511203963,2640127892; 2646989701; 2513354106; 2337766661; 2703863945; 2762017256; 2657683305; 2655299637; 2683051133; 2701572120; 2688088247; 2664789338,A. Takano; T. Uz; T. Macek; Christer Halldin; V. Stepanov; P. Stenkrona; N. Amini; S. Martinsson; M. Tsai; P. Goldsmith; J. Wu; J. Xie,12,11,0,0.0,,,,0.0,,,psychiatry; internal medicine; endocrinology; reproducibility; quantitative analysis; psychology; human brain; phosphodiesterase; radioligand,2015,Journal,European Neuropsychopharmacology,,10.1016/S0924-977X(15)30386-2,P.1.i.027 Quantitative analysis and test-retest reproducibility of a new phosphodiesterase 10A PET radioligand [11C]T-773 in human brain,0,,,,1.0,Affective Disorders,Brain Research
Reproducibility,2325435265,2307505884; 2706600815; 2129239030; 2128237439; 2016840011; 2326481658; 1977881539; 2145787866,F. De Giorgi; P. Andreozzi; Marcella Pesce; Alessandra D'Alessandro; R. D'Aniello; S. Di Palma; Giovanni Sarnelli; Rosario Cuomo,8,2,5,0.8333333333333334,1.0,,1.0,1.0,,1.0,reproducibility; medicine; diabetes mellitus,2012,Journal,Digestive and Liver Disease,,10.1016/S1590-8658(12)60610-0,P.20.2 REPRODUCIBILITY OF MULTICHANNEL ELECTROGASTROGRAPHY PARAMETERS IN DYSPEPTIC PATIENTS AND HEALTHY CONTROLS,0,,,,1.0,Digestion,Medical Specialties
Reproducibility,2089021384,2780491210; 2668142899; 2491750974; 2129761975; 2572457791,A. Rocco; G. De Martino; G. De Nucci; Debora Compare; G. Nardone,5,2,3,1.0,,1.0,1.0,1.0,,,diabetes mellitus; cohort; reproducibility; medicine; hydrogen breath test,2010,Journal,Digestive and Liver Disease,,10.1016/S1590-8658(10)60158-2,P.44 INTRA-INDIVIDUAL REPRODUCIBILITY OF THE GLUCOSE HYDROGEN BREATH TEST IN A COHORT OF HEALTHY SUBJECTS,1,,,,1.0,Digestion,Medical Specialties
Reproducibility,2067712493,689853758; 2633231915; 2653370791; 2684315740; 2780340445; 2668008356; 2057515876,Kenjiro Aogi; A. Hida; Y. Oshiro; H. Inoue; H. Kawaguchi; N. Yamashita; Takuya Moriya,7,6,0,0.0,,,,,,0.0,reproducibility; general surgery; medicine; breast cancer,2015,Journal,The Breast,Elsevier,10.1016/S0960-9776(15)70087-1,P037 Ki67 assessment using a 5-grade scale revealed high reproducibility for luminal type breast cancer,0,,,,,,
Reproducibility,1528343627,2088727508; 2477720684; 2073334091; 2186317703; 331325145; 2279609403,Christiane Simioni; L. C. Rolo; A. R. Hatanaka; E. Araujo Junior; Luciano Marcondes Machado Nardozza; A. F. Moron,6,4,1,0.5,1.0,,,,0.0,,rendering; pathology; fetus; precordial examination; radiology; medicine; reproducibility,2011,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.9654,P04.06: Reproducibility of the measurements determined by multiplanar method and rendering mode of fetal cardiac examination using STIC,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,1976846832,2122380916; 2755248069; 2117000696; 1180606030; 2477720684; 2186317703; 331325145; 2279609403,E. Q. Barreto; H. Milani; P. M. Nowak; K. K. Haratz; L. C. Rolo; E. Araujo Junior; Luciano Marcondes Machado Nardozza; A. F. Moron,8,7,0,0.0,,,,,,,reproducibility; medicine; pathology; radiology; fetus,2010,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.8404,P08.04: Reproducibility of fetal heart volume by 3D sonography using the XI VOCAL method,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2273304881,2428728128; 2177301267; 2173519390; 2638042314; 2179588165; 2194808797,V. Oboro; J. Akinmoladun; O. Oboro; A. Isawumi; O. Awopetu; I. Adelakun,6,6,0,,,,,,,,ultrasound; fetus; medicine; radiology; obstetrics; reproducibility,2015,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd",10.1002/uog.15435,P13.01: Reproducibility of fetal biometry by an inexperienced paramedic using both two- and three dimensional ultrasound,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,1537494135,2252159339; 2107804637; 2072097127; 2111215759; 2742745716,M. Kuleva; N. Fries; O. Castaing; D. Moeglin; L. J. Salomon,5,5,0,,,,,,,,ultrasound; reproducibility; radiology; medicine; obstetrics,2012,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.11951,P14.01: Reproducibility of chorionicity determination from ultrasound images at 11–14 weeks in twin pregnancies,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2589041753,2519832751; 2090727803; 2317663060; 2088999896,A. de Goede; C. Eertman; E. ter Braack; M.J.A.M. van Putten,4,2,1,0.5,1.0,,,0.0,,0.0,repeatability; reproducibility; psychology; transcranial magnetic stimulation; anesthesia; concordance correlation coefficient; ranging,2017,Journal,Clinical Neurophysiology,Elsevier,10.1016/j.clinph.2016.10.270,P149 Reproducibility of the long intracortical inhibition curve in healthy subjects,0,"Introduction Over the last decades, transcranial magnetic stimulation (TMS) has been used to assess cortical excitability in a variety of neuropsychiatric conditions, e.g. epilepsy, dementia and depression. To detect changes in excitability in longitudinal studies, it is important to validate the repeatability of TMS outcomes for the same subject between different sessions. Previous studies in healthy subjects found mixed degrees of reproducibility, ranging from poor to good agreement (Badawy et al., 2012; Du et al., 2014) . Especially, the long intracortical inhibition (LICI) curve showed a large variability across sessions (Du et al., 2014) . Objective To evaluate the reproducibility of the LICI curve in healthy subjects using paired pulse TMS. Subjects & methods Twenty-seven healthy subjects were studied two times ( ± 1 week apart) with paired pulse TMS combined with electromyography. Both motor hot spots (abductor digiti minimi) were stimulated with 50 paired pulses (intensity 120% of resting motor threshold) at interstimulus intervals (ISIs): 100, 150, 200, 250 and 300 ms. In nineteen subjects a figure-of-eight coil was positioned and held in place manually during both sessions, while in eight subjects a robotic arm was used. The concordance correlation coefficient (rho-c) was used to estimate the agreement between repeated sessions (Lin, 1989) . Results The average LICI curve among all subjects showed a close agreement between TMS sessions for manual (rho-c  = 0.88) and robot-guided (rho-c  = 0.95) positioning. However, the reproducibility decreased when individual LICI curves were compared; manual (rho-c  = 0.66) and robot-guided (rho-c  = 0.86). There was a large variation in reproducibility between subjects, ranging from poor to good levels of agreement. Additionally, moderate levels of agreement and a large variation was found for individual ISIs: manual (range rho-c: 0.42–0.55) versus robot-guided (range rho-c: 0.62–0.89). Conclusion Reproducibility of LICI curves was highly variable between healthy subjects. Good levels of agreement were found for analysis on group levels, but reproducibility decreased for the level of individual subjects or ISIs. Overall, reproducibility of the LICI curve was higher for robot-guided than for manual coil positioning.",,,1.0,Clinical Neurophysiology,Brain Research
Reproducibility,1555262710,2107413345; 2065282815; 2159257825; 2100794824; 1977100904,Juan Luis Alcázar; P. Sanchez-Gómez; L. Pineda; L. Juez; J. Utrilla-Layna,5,4,0,0.0,0.0,,,,,,medicine; pediatrics; reproducibility; iota; internal medicine; radiology,2013,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd",10.1002/uog.13115,P15.01: Offline reproducibility assessment of IOTA simple rules by OB/GYN trainees,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2331298020,2701674327; 2631806392; 2684341863; 2715005645; 2317848574; 2669494278,I. Schmeil; C. Knipper; A. Klee; K. Supp; A. Gerhold Ay; M. Gonser,6,6,0,,,,,,,,reproducibility; length measurement; medicine; radiology,2014,Journal,Ultrasound in Obstetrics & Gynecology,,10.1002/uog.14319,P16.08: Reproducibility of cervical length measurement: the effect of probe position and bladder visualisation in cervical shortening,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,1983841016,2780297199; 2618531468; 2345771526; 1924592209; 2067847428; 2290542794,Adilson Cunha Ferreira; F Mauad Filho; P. Abreu; Fernando Marum Mauad; A. H. Miyague; Wellington P. Martins,6,4,0,0.0,,,,0.0,,0.0,ultrasound; reproducibility; radiology; obstetrics; medicine,2014,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd",10.1002/uog.14323,P16.13: True Reproducibility of UltraSound Techniques (TRUST): second trimester cervical length using transabdominal and transvaginal ultrasound,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,1497164979,1977230517; 291024277; 1483628523; 1517020849; 2062149567; 2107413345; 2182238364; 2303686372,S. Guerriero; Silvia Ajossa; C. Peddes; M. Perniciano; B. Soggiu; Juan Luis Alcázar; F. Sedda; G. B. Melis,8,6,1,0.5,,1.0,,,,,ultrasonography; reproducibility; radiology; pathology; medicine; endometriosis,2013,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd",10.1002/uog.13128,P17.02: The reproducibility of the three dimensional (3D) ultrasonography in the diagnosis of deep endometriosis: effect of a specific training,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2314965819,2186317703; 2067847428; 2463997345; 2589246692,E. Araujo Junior; A. H. Miyague; Rafael Frederico Bruns; W.P. Martins,4,3,0,0.0,,,0.0,,,,radiology; medicine; pathology; ultrasound; fetus; reproducibility,2014,Journal,Ultrasound in Obstetrics & Gynecology,,10.1002/uog.14443,P22.17: Assessment of reproducibility of fetal thymus volume measurement by three-dimensional ultrasound using virtual organ computer-aided analysis,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2755547696,2754219634; 2133654778; 2670194354; 2755877532; 2003913887; 2135994705; 2220006385; 2071322222; 2063081761,G.T. Leong; C. Lu; B.J. Mein; M. Espada; B. Shakeri; B. Nadim; S. Reid; I. Casikar; G. Condous,9,9,0,,,,,,,,doppler effect; obstetrics; radiology; miscarriage; reproducibility; medicine,2017,Journal,Ultrasound in Obstetrics & Gynecology,,10.1002/uog.18230,P23.01: Doppler colour scoring system using offline video analysis in women with an incomplete miscarriage: inter- and intraobserver reproducibility study,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2083754120,2111785056; 1973453147; 2108708913; 2345781723; 2428397725; 2082786028; 2083167750; 2015981911,M. Salman; Hatem A. Mousa; P. Twining; D. K. James; M. Momtaz; M. Aboulghar; Ahmad El-Sheikhah; George Bugg,8,5,0,0.0,,0.0,,,,0.0,medicine; observer; fetal head; reproducibility; radiology,2010,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.8659,P25.12: Inter‐observer reproducibility of the offline measurement of fetal head biometry using 3D volume datasets,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2059815928,2107413345; 2707273928,Juan Luis Alcázar; A. Iturra,2,1,0,0.0,0.0,,,,,,medicine; observer; radiology; reproducibility,2011,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.9950,P28.02: Inter-observer reproducibility of GI-RADS reporting system for adnexal masses using three-dimensional volume off-line analysis,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,1595367265,1977230517; 1575586498; 405191156; 2134974773; 2107413345; 291024277; 2142710517; 2182238364; 2154463860; 2150227850; 1483628523; 2062149567,S. Guerriero; Begoña Olartecoechea; María Aubá; Anna Maria Paoletti; Juan Luis Alcázar; Silvia Ajossa; M. Pascual; F. Sedda; Monica Pilloni; Alessandra Piras; C. Peddes; B. Soggiu,12,7,4,0.8,,,,1.0,0.0,,artificial intelligence; medicine; operator; reproducibility; computer vision; radiology,2011,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.9952,P28.04: Reproducibility of color flow location and color score in operators with different degree of experience using virtual navigation of 3D volumes,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2050091573,1977230517; 2107413345; 2154463860; 2330148764; 291024277; 1575586498; 405191156; 2576142514,S. Guerriero; Juan Luis Alcázar; Monica Pilloni; S. Piras; Silvia Ajossa; Begoña Olartecoechea; María Aubá; A. M. Paoletti,8,5,2,0.6666666666666666,,0.0,1.0,,1.0,,reproducibility; pathology; medicine; radiology; gray,2011,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.9961,P29.04: Reproducibility and comparison of two different methods for performing mean gray value evaluation of cystic content in endometriomas using VOCAL,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2569899120,2682097148; 2175533798; 722359254; 2136733843; 2033878917; 2107175442; 2159562802; 286237425; 2608666126; 2521598772; 2694611030,Angela Shih; Akihiko Yoshizawa; Mari Mino-Kenudson; Alona Muzikansky; Emine Bozkurtlar; Jin-Haeng Chung; Yuko Minami; Lida P. Hariri; Andre L. Moreira; Hironori Uruga; He Wang,11,4,6,0.8571428571428571,1.0,,1.0,1.0,1.0,,lung; medicine; reproducibility; pathology,2017,Journal,Journal of Thoracic Oncology,Elsevier,10.1016/j.jtho.2016.11.1584,P3.01-018 Reproducibility in Classification of Small Lung Adenocarcinomas: An International Interobserver Study: Topic: Morphology,0,,,,1.0,Lung Cancer,Medical Specialties
Reproducibility,1497079965,2107413345; 2428947557,Juan Luis Alcázar; M. J. Kudla,2,1,0,0.0,0.0,,,,,,medicine; digital image correlation; radiology; observer; reproducibility,2011,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.9975,P30.12: Spatio-temporal image correlation (STIC) using high definition flow (HDF) for assessing ovarian vascularization: An inter-observer reproducibility analysis,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2058078580,2097068381; 2096376246; 2304436991; 2165974847; 2137212182; 2102737680; 685810427,T. Ghi; E. Contro; M. Nobile; Antonio Farina; G. Pelusi; Nicola Rizzo; G. Pilu,7,5,1,0.5,,,,0.0,,,medicine; 3d ultrasound; reproducibility; radiology,2010,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.8738,P32.02: 3D ultrasound in monitoring the progression of labor: a reproducibility study,0,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2762987860,2107511698; 2464869880; 2093690017; 2775208298; 2108174358,S. Unlu; Oana Mirea; Jürgen Duchenne; E.D. Pagourelias; Jens-Uwe Voigt,5,5,0,,,,,,,,medicine; reproducibility; cardiology; internal medicine,2017,Journal,European Heart Journal,,10.1093/eurheartj/ehx504.P3343,"P3343Feasibility, reproducibility of global longitudinal strain measurements from different myocardial layers",0,,,,1.0,Circulation,Medical Specialties
Reproducibility,2004498536,2685015389; 2645215337; 141436089; 2126728049; 2154854141; 2408664098,I Fotheringham; G Meakin; Yogesh Suresh Punekar; John H. Riley; Sarah Cockle; S Singh,6,3,1,0.3333333333333333,,,0.0,0.0,1.0,,repeatability; intraclass correlation; reproducibility; physical therapy; statistics; copd; medicine; comparability,2013,Journal,Thorax,BMJ Publishing Group Ltd,10.1136/thoraxjnl-2013-204457.190,"P40 Systematic review of the repeatability, reproducibility, sensitivity and comparability of key exercise capacity tests used in chronic obstructive pulmonary disease (COPD)",0,"Introduction and Objectives Various exercise tests are used as endpoints to evaluate the functional status of patients with COPD. While individual studies have compared different tests, a systematic assessment of this data has not been performed. We therefore aimed to review the repeatability (variation in tests performed on the same day), reproducibility (variation in tests performed on different days), sensitivity and comparability between and within exercise tests in adult patients with COPD.

Methods A systematic review of Embase, MEDLINE® and the Cochrane Library identified primary manuscripts in English reporting relevant data on the following exercise tests: six- and twelve-minute walk tests (6MWTs and 12MWTs), incremental and endurance shuttle walk tests (ISWTs and ESWTs), treadmill test (TT), and incremental and endurance cycle ergometer tests (ICETs and ECETs). Comparability within exercise tests was assessed by examining studies that compared different protocols of the same test type.

Results We identified 90 relevant studies ([Figure 1][1]). The majority of studies exploring repeatability and/or reproducibility examined the 6MWT, 12MWT and ISWT; no studies examined repeatability in treadmill and cycle tests. Only four studies reported the intraclass correlation coefficient (ICC); two examined repeatability and reproducibility of the 6MWT (ICCs = 0.94 and 0.88, respectively), and a further two reported reproducibility of the ECET and endurance TT (ICCs = 0.85 and 0.84, respectively). These data indicate good repeatability/reproducibility, but other studies contradict these findings. Prior familiarisation consistently improved repeatability and reproducibility of tests. Most relevant studies reported that exercise tests were sensitive to interventions, but the magnitude of response varied between test types and depended on the intervention and outcome assessed. Protocol variations, such as in track layout or supplemental oxygen use, affected performance in the majority of studies identified. Studies with pair-wise comparisons between walk tests, cycle tests, and walk and cycle tests reported inconsistent comparability between test types.

![Abstract P40 Figure 1.][2] 

Abstract P40 Figure 1. 
Breakdown of the relevant studies. Numbers of studies that contain data examining the repeatability, reproducibility, sensitivity and comparability (within and between different tests) for the different exercise tests. As some studies fall into more than one category, the combined number of studies in this figure exceeds 90.



Conclusion This review found varied repeatability, reproducibility and sensitivity of exercise tests often resulting from inconsistencies in protocol administration (e.g. variations in protocols used, outcomes analysed, or protocol familiarisation). Such within- and between-test variations make comparisons difficult, even between studies ostensibly reporting the same test.

 [1]: #F1
 [2]: pending:yes",WOS:000330518700188,thorax,1.0,Chest & Respiratory,Medical Specialties
Reproducibility,1966730156,2608456677; 2156177098; 2097145226,John McHugh; Richard B. Reilly; Sean Connolly,3,0,0,0.0,0.0,0.0,0.0,,,0.0,motor nerve; neuroscience; psychology; anesthesia; reproducibility,2011,Journal,Clinical Neurophysiology,,10.1016/S1388-2457(11)60274-5,P5.10 Examining the reproducibility of median motor nerve excitability testing,0,,,,1.0,Clinical Neurophysiology,Brain Research
Reproducibility,2763591811,1859065638; 2609190501; 2761861939; 2763370634; 2315337699; 267455910,Anna Rita Sorbo; G. Lombardi; L. La Brocca; G. Guida; Riccardo Fenici; Donatella Brisinda,6,2,3,0.75,1.0,,1.0,,0.0,1.0,medicine; reproducibility; cardiology; internal medicine; repeatability; repolarization,2017,Journal,European Heart Journal,,10.1093/eurheartj/ehx493.P5517,P5517Unshielded magnetocardiographic mapping: repeatability and reproducibility of ventricular repolarization parameters in 204 healthy subjects,0,,,,1.0,Circulation,Medical Specialties
Reproducibility,2763189605,2107511698; 2464869880; 2093690017; 2775208298; 2108174358,S. Unlu; Oana Mirea; Jürgen Duchenne; E.D. Pagourelias; Jens-Uwe Voigt,5,5,0,,,,,,,,medicine; cardiology; internal medicine; reproducibility,2017,Journal,European Heart Journal,,10.1093/eurheartj/ehx493.P6125,P6125Feasibility and reproducibility of segmental longitudinal strain measurements from different myocardial layers,0,,,,1.0,Circulation,Medical Specialties
